(constsym,    const)
(ident,    num)
(eql,    =)
(number,    100)
(,    ;)
(procsym,    procedure)
(ident,    gcd)
(,    ;)
(varsym,    var)
(ident,    a1)
(,    ,)
(ident,    b2)
(,    ;)
(beginsym,    begin)
(readsym,    read)
(lparen,    ()
(ident,    a1)
(rparen,    ))
(,    ;)
(ident,    b2)
(becomes,    :=)
(ident,    a1)
(plus,    +)
(ident,    num)
(plus,    +)
(string value,    "abc")
(,    ;)
(writesym,    write)
(lparen,    ()
(ident,    a1)
(,    ,)
(ident,    b2)
(rparen,    ))
(,    ;)
(becomes,    :=)
(ident,    num1)
(plus,    +)
(ident,    num2)
(,    ;)
(comment,    {num})
(endsym,    end)
(,    .)
(leq,    <=)
(becomes,    :=)
(bool,    true)
(double,    3.8)
(number,    38)
